Area,Site #,Latitude,Longitude,elevation (m),Rock type,S dominant,,S dominant dip direction,S dominant dip angle,Ls,Ls direction,Ls plunge,shear direction,shear sense,other foliations,other L,C' provided,C'-strike,C'-dip direction,C'-dip,Lineation,Lineation type,Sample,Thin section type,reference chunk,Big crushed,Small crushed,powdered?,other comments,Metamorphic minerals (field),Peak minerals
,,,,,,340/sv,340,250,90,,,,,,,,,,,,,,,,,,,,,,
,SK9,27.52719444,88.60658333,1475,,318/45NE,318,48,45,345/22,345,22,,"top to S, dextral",,,,,,,,stretching,,no,,,,,,,
,SK45,27.41108333,88.51669444,611,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK46,27.31663889,88.46786111,787,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK128,27.47518,88.52679,843,msc-grt schist,270/38N,270,0,38,,,,top to S (thrust),thrust,,,,,,,,,,,,,,,,grt,Grt
,SK129,27.47943,88.52879,889,Micatious (primaily msc) schist,010/55W,10,,55,27/339,339,27,top to S (thrust),thrust,,,,,,,,,,,,,,,,"grt, bt, chl",Grt
,SK130,27.48005,88.52908,922,schisty + minor quartzite,010/60E,10,100,60,,2,22,,,,,,,,,,,yes,xz non-oriented,yes,yes,yes,yes,,"possible grt (possible retro) bt, chl",Grt
,SK131,27.48019,88.53141,980,quartzite +schisty,,,,,,357,5,,,,,,,,,,,,,,,,,,,
,SK132,27.5352,88.61036,1420,GRT-bt-ky-sil-msc schist and dirty qtzite,120/37NE,120,30,37,,324,17,top to SE (thrust),thrust,,,,,,,,,yes,2 @ 90 degrees,yes,yes,yes,no,,"sil, ky, GRT, bt, chl - melt",Sil
,SK133,27.51605,88.53893,1268,dirty quartzite + schisty,061/50N,61,,50,,356,33,top to S (thrust),thrust,,,,,,,,,yes,xz non-oriented,yes,yes,yes,yes,,bt,Bt
,SK134,27.51431,88.5826,1444,migmatite (L-tectonite),,,,,,,,,,,,,,,,,,,,,,,,,bt,Bt
,SK135,27.5296,88.60042,1464,Migmatitic gneiss,317/36E,317,47,36,,352,24,top to N (normal) + top to S (thrust),confused,,,,,,,,,yes,oriented,yes,yes,yes,no,,bt,SIl
,SK136,27.52717,88.60695,1485,Migmatite,327/39E,327,57,39,,,,pseudo normal,confused,,,,,,,,,yes,xz-non-oriented,yes,yes,yes,yes,,"grt, bt",Grt
,SK137,27.52812,88.60209,1476,Migmatite,,,,,,,,,,,,,,,,,,,,,,,,,"grt, bt",Grt
,SK138,27.50623,88.53876,1240,Quartzite,,,,,,20,15,,,,,,,,,,,yes,xz non-oriented,yes,yes,yes,yes,,bt,Bt
,SK139,27.46682,88.52448,906,schist,231/50NW,231,,50,,340,39,top to S (thrust),thrust,,,,,,,,,yes,,,,,,,grt,Grt
,SK140,27.45061,88.52624,1181,schist,290/22N,290,20,22,,12,20,top to S (thrust),thrust,,,,,,,,,yes,comp only,yes,no,no,no,,"grt, chl",Grt
,SK167,27.51495,88.56154,1402,Schist,311/68E,311,41,68,,329,55,,,,,,,,,,,yes,xz non-oriented,yes,yes,yes,yes,,"Ky, grt, bt, chl",Ky
,SK168,27.51817,88.5475,1300,Quartzite,307/38N,307,37,,,,,,,,,,,,,,,yes,2 zx non-oriented,yes,yes,yes,yes,,"grt, bt",Grt
