Area,Site #,Latitude,Longitude,elevation (m),Rock description,Soimplified rock type,S dominant,S dominant dip direction,S dominant dip angle,Ls,Ls direction,Ls plunge,shear direction,shear sense,Direction of transport,other foliations,other L,L cren trend,L cren plunge,C' provided,C'-strike,C'-dip direction,C'-dip,Lineation,Lineation type,Sample,Thin section type,reference chunk,Big crushed,Small crushed,powdered?,other comments,Metamorphic minerals (field),Peak minerals
,SK114,27.29031,88.20852,1809,Migmatitic gneiss,MG,,,,58 to 268,268,58,top to the west (normal),normal,268,,,,,,,,,,,,,,,,,bt dehydration ? And post migmatitic movement,"grt, bt",Grt
,SK115,27.30149,88.23959,1971,schist,IM(B),,,,,,,,,,,,,,,,,,,,,,,,,,,chl,
,SK116,27.30128,88.23848,1955,schist,IM(G),279/38W,,,21 to 255,255,21,possible thrust,thrust,75,,,,,,,,,,,yes,orientred,yes,,,,,bt,Bt
,SK117,27.30127,88.23898,1970,Quartzite,IM(B),,,,,,,top to east (thrust) OPB top to west (normal),,,,,,,,,,,,,,,,,,,chl in normal shear planes,"chl, bt",Bt
,SK183,27.30169,88.23815,1930,Quartzite,IM(B),320/34SW,230,34,30 to 254,254,30,top to west (normal),normal,254,,,,,,,,,,,yes,oriented,yes,no,no,no,,"bt, chl",Bt
,SK173,27.27951,88.18538,1760,,IM(B),026/25NW,296,25,19 to 307,307,19,,unknown,307,,,,,,,,,,,yes,2 oriented to L1 and L2,yes,yes,yes,yes,,,
,SK49,27.30038,88.23528,1930,,,164/36W,254,36,,,,Top-to-E reverse overprinted by top-to-west normal shearing,,,,,,,,,,,238/33,,yes,yes,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,250/33,,,,,,,,,,
,,,,,,,Cthrust=040/25W,,,268/07,268,7,,both,88,,,,,,,,,,stretching,,,,,,,,,
,,,,,,,Cthrust=032/36W,,,271/06,271,6,,ambiguous,91,,,,,,,,,,stretching,,,,,,,,,
,,,,,,,Cnormal=024/66W,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Cnormal=012/72W,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SK50,27.29883,88.22157,2030,,,199/28W,289,28,25 to 320,320,25,Top to NW,normal,320,,,,,026/54NW,26,296,54,328/44,,yes,,,,,,,,
,,,,,,,025/20W,295,20,,,,,,,,,,,,,,,,,,,,,,,,,
Pelling to Yuksom,SK177,27.30054,88.22124,1718,grt gneiss/schist,IM(G),,,,30 to 305,305,30,top to the NW,normal,305,,,,,,,,,,,,,,,,,many photos,,
,SK181,27.30672,88.19933,1628,sil migmatitic gneiss,MG,222/20W,312,20,18 to 293,293,18,possible ttt SE,thrust,113,,,,,,,,,,,SK181B,,,,,,,,
,SK180,27.30844,88.19648,1735,gneiss w amph lenses,NMG,,,,,,,top to the SE,,,C' = 051/33SE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,C = 159/28SW,,,,,,,,,,,,,,,,,,
